model,accuracy,precision,churn_recall,predicted_churn_count,tn,fp,fn,tp
baseline,0.8312611012433393,0.0,0.0,0,936,0,190,0
logistic_regression,0.8028419182948491,0.45375722543352603,0.8263157894736842,346,747,189,33,157
decision_tree,0.7770870337477798,0.42077922077922075,0.8526315789473684,385,713,223,28,162
random_forest,0.8801065719360568,0.6053639846743295,0.8315789473684211,261,833,103,32,158
