TenureGroup,用户数,流失人数,流失率,平均订单数,平均返现,平均距上次下单天数
0-6月,2150,697,0.3241860465116279,2.496279069767442,159.57244186046512,3.772093023255814
13-24月,1467,95,0.06475800954328562,3.704839809134288,204.91599182004092,5.316973415132924
24月以上,429,0,0.0,3.5454545454545454,222.3400233100233,5.256410256410256
7-12月,1584,156,0.09848484848484848,2.7474747474747474,163.3139393939394,4.381944444444445
