Complain,用户数,流失人数,流失率,平均满意度,平均订单数,投诉状态
0,4026,440,0.1092896174863388,3.0938897168405366,3.0004967709885744,无投诉
1,1604,508,0.3167082294264339,2.9987531172069826,2.864713216957606,有投诉
